Time,GSR
1934199,766
1934209,755
1934219,765
1934229,756
1934239,765
1934249,758
1934259,765
1934269,756
1934279,765
1934289,757
1934299,765
1934309,756
1934319,765
1934329,757
1934339,765
1934349,756
1934359,765
1934369,757
1934380,764
1934390,759
1934400,763
1934410,760
1934420,762
1934430,760
1934440,763
1934450,760
1934460,762
1934470,760
1934480,763
1934490,760
1934500,762
1934510,759
1934520,763
1934530,760
1934540,762
1934551,761
1934561,762
1934571,761
1934581,761
1934592,763
1934610,761
1934613,764
1934622,760
1934632,763
1934642,761
1934652,763
1934662,761
1934672,763
1934682,761
1934692,763
1934702,760
1934712,763
1934722,760
1934732,763
1934742,760
1934752,763
1934763,760
1934772,763
1934782,760
1934792,763
1934802,760
1934812,763
1934822,760
1934832,763
1934842,760
1934852,763
1934862,760
1934872,763
1934882,760
1934892,763
1934902,760
1934912,763
1934922,760
1934932,763
1934942,760
1934952,763
1934962,760
1934972,763
1934982,760
1934992,763
1935002,760
1935012,763
1935022,760
1935032,763
1935042,760
1935052,763
1935063,760
1935073,764
1935083,760
1935093,764
1935104,759
1935113,764
1935123,760
1935133,764
1935143,759
1935153,764
1935163,760
1935173,764
1935183,759
1935193,764
1935203,760
1935213,764
1935223,759
1935233,764
1935243,760
1935253,764
1935263,759
1935273,765
1935283,760
1935293,764
1935303,759
1935313,764
1935323,760
1935333,764
1935352,763
1935355,773
1935364,759
1935374,765
1935384,759
1935394,770
1935404,759
1935414,765
1935424,759
1935434,770
1935444,750
1935454,765
1935464,759
1935474,769
1935484,752
1935494,765
1935504,759
1935514,768
1935524,753
1935534,765
1935544,759
1935554,768
1935564,754
1935575,774
1935585,745
1935595,774
1935605,745
1935616,770
1935625,746
1935635,774
1935645,744
1935655,770
1935665,746
1935675,774
1935685,744
1935695,770
1935705,747
1935715,774
1935725,744
1935735,771
1935745,747
1935755,774
1935765,744
1935775,771
1935785,747
1935795,774
1935805,744
1935815,772
1935825,747
1935835,774
1935845,744
1935855,772
1935865,747
1935875,774
1935885,744
