Time,GSR
516621,759
516631,755
516641,759
516652,755
516662,759
516672,755
516682,759
516692,756
516702,759
516721,758
516723,758
516733,758
516743,758
516753,757
516763,758
516773,758
516783,758
516793,757
516803,758
516813,758
516823,758
516833,757
516843,758
516853,758
516864,757
516873,757
516883,758
516893,757
516903,757
516913,757
516923,757
516933,758
516943,757
516953,757
516963,758
516973,758
516983,757
516993,757
517003,758
517013,758
517023,757
517033,758
517043,758
517053,757
517063,757
517073,758
517083,758
517093,758
517103,757
517113,758
517123,758
517133,758
517143,757
517153,758
517164,757
517174,758
517184,757
517194,759
517204,757
517214,759
517224,757
517234,759
517244,757
517254,759
517264,757
517274,759
517284,757
517294,759
517304,757
517323,756
517326,755
517335,760
517345,756
517355,760
517365,756
517376,760
517385,756
517395,760
517405,756
517415,760
517425,756
517435,760
517445,756
517455,760
517465,756
517475,760
517485,756
517495,760
517505,756
517515,760
517525,756
517535,760
517545,755
517555,760
517565,756
517575,760
517585,755
517595,760
517605,756
517615,760
517625,755
517635,760
517645,756
517655,760
517665,755
517676,760
517686,755
517696,760
517706,754
517716,760
517726,755
517736,760
517746,754
517756,760
517766,755
517776,760
517786,754
517796,760
517806,755
517816,760
517826,754
517836,760
517847,754
517857,760
517867,754
517877,760
517888,754
517897,760
517907,754
517926,753
517929,755
517938,760
517948,754
517958,759
517968,755
517978,760
517988,754
517998,759
518008,755
518018,759
518028,754
518038,759
518048,755
518059,759
518068,754
518078,759
518088,755
518098,759
518108,754
518118,759
518128,755
518138,759
518148,754
518158,759
518168,755
518178,759
518188,754
518198,759
518208,755
518218,759
518228,755
518238,759
518248,755
518258,759
518268,755
518278,759
518288,755
518298,759
518308,755
518318,759
518328,755
518338,759
518348,755
518359,759
518369,755
518379,759
518389,755
518400,758
518409,755
518419,759
518429,755
518439,758
518449,755
518459,759
518469,755
518479,758
518489,755
518499,759
518509,755
518529,755
518532,759
518541,758
518551,758
518561,757
518572,759
518582,757
518592,759
518602,756
518612,759
518622,757
518632,759
518642,756
518652,759
518662,757
518672,759
518682,756
518692,759
518702,757
518712,759
518722,756
518732,759
518743,756
518753,760
518763,755
518773,760
518784,755
518793,760
518803,755
518813,760
518823,755
518833,760
518843,755
518853,760
518863,755
518873,760
518883,755
518893,760
518903,755
518913,760
518923,755
518933,760
518943,755
518953,760
518963,755
518973,760
518983,755
518993,760
