Time,GSR
296796,755
296806,755
296816,758
296826,757
296836,753
296846,754
296856,753
296866,755
296876,753
296886,755
296896,753
296906,755
296916,753
296926,754
296936,753
296946,755
296956,753
296966,755
296976,753
296986,755
296996,753
297006,755
297016,753
297026,755
297036,753
297047,755
297057,753
297067,755
297077,753
297088,755
297097,753
297107,755
297117,753
297127,755
297137,753
297147,755
297157,753
297167,755
297177,753
297187,755
297197,753
297207,755
297217,753
297227,755
297237,753
297247,755
297257,753
297267,755
297277,753
297287,755
297297,753
297307,755
297317,753
297327,755
297337,753
297347,755
297357,753
297367,755
297377,753
297388,755
297407,755
297410,756
297419,754
297430,755
297439,754
297449,755
297459,754
297469,755
297479,754
297489,755
297499,754
297509,755
297519,754
297529,755
297539,754
297549,755
297559,755
297569,755
297579,753
297589,755
297600,755
297609,755
297619,754
297629,757
297639,756
297649,760
297659,755
297669,754
297679,754
297689,755
297699,754
297709,755
297719,754
297729,755
297739,754
297749,755
297759,754
297769,755
297779,754
297789,761
297799,757
297809,766
297819,758
297829,756
297839,759
297849,757
297859,756
297869,760
297879,761
297889,759
297900,756
297910,759
297920,759
297930,756
297940,759
297950,758
297960,757
297970,758
297990,754
297993,755
298002,756
298012,755
298022,756
298032,755
298042,756
298052,755
298062,755
298072,754
298082,755
298092,754
298102,755
298113,754
298123,755
298133,754
298143,755
298153,754
298163,755
298173,754
298183,755
298193,754
298203,755
298213,754
298223,755
298233,754
298243,755
298253,754
298263,755
298273,754
298284,756
298294,754
298304,756
298314,753
298324,756
298334,754
298344,755
298354,753
298364,756
298374,754
298384,756
298394,754
298404,756
298414,754
298424,756
298434,753
298444,756
298455,754
298465,756
298475,753
298485,756
298496,754
298505,756
298515,753
298525,756
298535,754
298545,756
298555,754
298574,756
298577,760
298586,759
298596,759
298606,756
298616,755
298626,758
298636,759
298646,757
298656,755
298667,756
298676,755
298686,757
298696,757
298706,758
298716,756
298726,757
298736,756
298746,758
298756,757
298766,758
298776,753
298786,755
298796,756
298806,756
298816,758
298826,755
298836,753
298846,755
298856,754
298866,755
298876,754
298886,755
298896,754
298906,755
298916,754
298926,755
298936,754
298946,755
298956,754
298967,756
298977,754
298987,756
298997,754
299008,755
299017,754
299027,755
299037,754
299047,755
299057,754
299067,756
299077,754
299087,755
299097,754
299107,756
299117,754
299127,755
299146,755
299149,755
299158,755
299168,755
299179,755
299188,755
299198,755
299208,755
299218,755
299228,755
299238,754
299248,755
299258,755
299268,755
299278,754
299288,754
299298,755
299308,755
299318,754
299328,754
299338,755
299348,755
299358,754
299368,755
299378,755
299388,755
299398,755
299408,755
299418,755
299428,755
299438,755
299448,754
299458,755
299468,755
299479,755
299489,754
299499,755
299509,754
299520,755
299529,754
299539,756
299549,757
299559,757
299569,754
299579,755
299589,754
299599,755
299609,754
299619,755
299629,755
299639,756
299649,758
299659,755
299669,755
299679,755
299689,754
299708,753
299710,754
299720,756
299730,754
299740,756
299750,754
299760,756
299770,754
299780,756
299790,754
299800,756
299810,754
299820,755
299830,754
299840,755
299850,754
299860,755
299870,754
299880,755
299890,754
299900,755
299910,754
299920,756
299930,754
299940,756
299950,754
299960,756
299970,754
299980,755
299991,754
300001,756
300011,754
300021,756
300032,754
300041,756
300051,754
300061,756
300071,754
300081,756
300091,754
300101,755
300111,754
300121,756
300131,754
300141,755
300151,754
300161,756
300171,754
300181,756
300191,754
300201,756
300211,754
300221,756
300231,754
300241,756
300251,754
300261,756
300271,754
300281,756
300300,755
300302,756
300312,754
300322,756
300332,754
300342,756
300352,754
300362,756
300372,754
300382,756
300392,754
300402,756
300412,754
300422,756
300432,754
300442,756
300452,754
300462,756
300472,753
300482,756
300492,754
300503,756
300513,754
300523,756
300533,754
300544,756
300553,754
300563,756
300573,754
300583,755
300593,754
300603,756
300613,754
300623,756
300633,754
300643,756
300653,754
300663,756
300673,754
300683,756
300693,754
300703,756
300713,754
300723,756
300733,754
300743,756
300753,754
300763,756
300773,754
300783,756
300793,754
300803,756
300813,754
300823,756
300833,754
300844,756
300854,754
300864,756
300874,754
300894,753
300897,755
300906,755
300916,755
300926,755
300936,755
300946,755
300956,755
300966,755
300976,755
300986,755
300996,755
301006,754
301016,755
301026,755
301036,755
301046,754
301057,755
301067,755
301077,755
301087,754
301097,756
301107,754
301117,755
301127,754
301137,755
301147,755
301157,755
301167,754
301177,756
301187,755
301197,755
301207,754
301217,755
301228,754
301238,755
301248,754
301258,756
301268,754
301278,755
301288,754
301298,756
301308,754
301318,755
301328,754
301338,756
301348,754
301358,755
301368,754
301378,755
301388,754
301399,755
301409,754
301419,756
301429,754
301440,756
301449,754
301459,756
301469,754
301479,756
301498,755
301501,756
301510,754
301520,756
301530,754
301540,756
301550,754
301560,756
301570,775
301580,773
301590,765
301600,769
301611,769
301620,772
301630,771
301640,772
301650,772
301660,775
301670,775
301680,778
301690,780
301700,780
301710,782
301720,782
301730,782
301740,782
301750,783
301760,782
301770,781
